id	cpp_file	cpp_line	platforms	cpp_condition_chain	block_responsibility	selfhost_evidence	selfhost_when	status	finding
PB012	CHIR/Interpreter/BCHIRInterpreter.cpp	170	x86_64,aarch64	170:#if (defined(__x86_64__) || defined(__aarch64__)) | 173:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => interpStack.ArgsPush(; #else => interpStack.ArgsPush(	packages/chir/src/BCHIRInterpreter.cj	NO	DIVERGENT	selfhost 将 IntNative/UIntNative 始终按 64 位处理，缺官方 32 位 else 路径。
PB013	CHIR/Interpreter/BCHIRInterpreter.cpp	211	x86_64,aarch64	211:#if (defined(__x86_64__) || defined(__aarch64__)) | 213:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => interpStack.ArgsPush(IValUtils::PrimitiveValue<IIntNat>(static_cast<int64_t>(bchir.Get8bytes(valIdx))));; #else => interpStack.ArgsPush(IValUtils::PrimitiveValue<IIntNat>(static_cast<int32_t>(bchir.Get8bytes(valIdx))));	packages/chir/src/BCHIRInterpreter.cj	NO	DIVERGENT	selfhost 将 IntNative/UIntNative 始终按 64 位处理，缺官方 32 位 else 路径。
PB014	CHIR/Interpreter/BCHIRInterpreter.cpp	873	x86_64,aarch64	873:#if (defined(__x86_64__) || defined(__aarch64__)) | 875:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => return CastOrRaiseExceptionForInt<T, IIntNat, int64_t>(val, strategy, opIdx);; #else => return CastOrRaiseExceptionForInt<T, IIntNat, int32_t>(val, strategy, opIdx);	packages/chir/src/BCHIRInterpreter.cj	NO	DIVERGENT	selfhost 将 IntNative/UIntNative 始终按 64 位处理，缺官方 32 位 else 路径。
PB015	CHIR/Interpreter/BCHIRInterpreter.cpp	920	x86_64,aarch64	920:#if (defined(__x86_64__) || defined(__aarch64__)) | 922:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => return CastOrRaiseExceptionForFloat<T, IIntNat, int64_t>(floatVal, opIdx);; #else => return CastOrRaiseExceptionForFloat<T, IIntNat, int32_t>(floatVal, opIdx);	packages/chir/src/BCHIRInterpreter.cj	NO	DIVERGENT	selfhost 将 IntNative/UIntNative 始终按 64 位处理，缺官方 32 位 else 路径。
PB016	CHIR/Interpreter/BCHIRInterpreter.cpp	1395	x86_64,aarch64	1395:#if (defined(__x86_64__) || defined(__aarch64__)) | 1397:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => return BinOpInt<op, IIntNat, int64_t>(strat);; #else => return BinOpInt<op, IIntNat, int32_t>(strat);	packages/chir/src/BCHIRInterpreter.cj	NO	DIVERGENT	selfhost 将 IntNative/UIntNative 始终按 64 位处理，缺官方 32 位 else 路径。
PB017	CHIR/Interpreter/BCHIRIntrinsic.cpp	101	x86_64,aarch64	101:#if defined(__x86_64__) | 104:#elif defined(__aarch64__) | 106:#else	平台块负责选择：#if defined(__x86_64__) => __builtin_cpu_init();; #elif defined(__aarch64__) => simdSUPPORT = 1;; #else => simdSUPPORT = 0;	packages/chir/src/BCHIRInterpreter.cj:347	NO	DIVERGENT	selfhost CJ_CORE_CanUseSIMD 恒返回 true，未做 OS/架构/AVX 探测。
PB018	CHIR/Interpreter/BCHIRIntrinsic.cpp	100	Apple,Linux	100:#if defined(__linux__) || defined(__APPLE__) | 109:#else	平台块负责选择：#if defined(__linux__) || defined(__APPLE__) => __builtin_cpu_init();; #else => simdSUPPORT = 0;	packages/chir/src/BCHIRInterpreter.cj:347	NO	DIVERGENT	selfhost CJ_CORE_CanUseSIMD 恒返回 true，未做 OS/架构/AVX 探测。
PB019	CHIR/Interpreter/Utils.cpp	160	x86_64,aarch64	160:#if (defined(__x86_64__) || defined(__aarch64__)) | 162:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => return {IValUtils::PrimitiveValue<IUIntNat>(static_cast<uint64_t>(def.Get8bytes(1)))};; #else => return {IValUtils::PrimitiveValue<IUIntNat>(static_cast<uint32_t>(def.Get8bytes(1)))};	packages/chir/src/InterpreterValueUtils.cj	NO	DIVERGENT	selfhost native integer字节码始终走 64 位值，缺官方 32 位 else 路径。
PB020	CHIR/Interpreter/Utils.cpp	174	x86_64,aarch64	174:#if (defined(__x86_64__) || defined(__aarch64__)) | 176:#else	平台块负责选择：#if (defined(__x86_64__) || defined(__aarch64__)) => return {IValUtils::PrimitiveValue<IIntNat>(static_cast<int64_t>(def.Get8bytes(1)))};; #else => return {IValUtils::PrimitiveValue<IIntNat>(static_cast<int32_t>(def.Get8bytes(1)))};	packages/chir/src/InterpreterValueUtils.cj	NO	DIVERGENT	selfhost native integer字节码始终走 64 位值，缺官方 32 位 else 路径。
PB021	CodeGen/Base/ApplyImpl.cpp	243	Apple	243:#ifdef __APPLE__	平台块负责选择：#ifdef __APPLE__ => const bool onMacMx = !nonAarch64 && (target.os == Triple::OSType::DARWIN || target.os == Triple::OSType::IOS);	packages/codegen/src/ApplyImpl.cj:349	YES	COVERED	macOS/iOS 与非 Apple 两实现均存在，属性复制分支对应。
PB022	CodeGen/CGModule.cpp	94	Apple	94:#ifdef __APPLE__	平台块负责选择：#ifdef __APPLE__ => } else if (options.target.arch == Triple::ArchType::AARCH64 && options.target.os == Triple::OSType::DARWIN) {	packages/codegen/src/CGModule.cj:1170	YES	COVERED	Apple AArch64 C FFI 创建受 host @When 隔离且目标分支完整。
PB023	CodeGen/CJNative/CHIRSplitter.cpp	348	Windows	348:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => auto tempPath = StringConvertor::NormalizeStringToUTF8(path);	packages/codegen/src/CHIRSplitter.cj	YES	COVERED	Windows 路径编码正规化在读写缓存两处均存在。
PB024	CodeGen/CJNative/CHIRSplitter.cpp	470	Windows	470:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => auto tempPath = StringConvertor::NormalizeStringToUTF8(path);	packages/codegen/src/CHIRSplitter.cj	YES	COVERED	Windows 路径编码正规化在读写缓存两处均存在。
PB025	CodeGen/CJNative/CJNativeCGCFFI.cpp	964	Apple	964:#ifdef __APPLE__	平台块负责选择：#ifdef __APPLE__ => void MacAArch64CJNativeCGCFFI::AddFunctionAttr(const CHIR::FuncType& chirFuncTy, llvm::Function& llvmFunc)	packages/codegen/src/CGCFFI.cj:1036	YES	COVERED	MacAArch64 C ABI 实现仅在 macOS host 可用。
PB026	CodeGen/CJNative/CJNativeCGCFFI.h	220	Apple	220:#ifdef __APPLE__	平台块负责选择：#ifdef __APPLE__ => class MacAArch64CJNativeCGCFFI : public LinuxAarch64CJNativeCGCFFI {	packages/codegen/src/CGCFFI.cj:1036	YES	COVERED	MacAArch64 C ABI 类仅在 macOS host 声明。
PB027	CodeGen/DIBuilder.cpp	29	Windows	29:#ifdef _WIN32 | 38:#else	平台块负责选择：#ifdef _WIN32 => char split = '\\';; #else => char split = '/';	packages/codegen/src/DIBuilder.cj	YES	COVERED	路径前缀分隔符与大小写处理有 Windows/非 Windows 对应实现。
PB028	CodeGen/DIBuilder.cpp	209	Apple	209:#ifndef __APPLE__	平台块负责选择：#ifndef __APPLE__ => static const CHIR::Type* GetOuterTypeOfMemberFunc(const CHIR::Function& func)	packages/codegen/src/DIBuilder.cj	NO	DIVERGENT	selfhost 对 member full-debug scope 明确抛 BLOCKED，Apple 排除分支未忠实落地。
PB029	CodeGen/DIBuilder.cpp	247	Apple	247:#ifndef __APPLE__	平台块负责选择：#ifndef __APPLE__ => bool isMemberFunc = func->GetParentCustomTypeDef() != nullptr;	packages/codegen/src/DIBuilder.cj	NO	DIVERGENT	selfhost 对 member full-debug scope 明确抛 BLOCKED，非 Apple decl/scope 路径缺失。
PB030	CodeGen/IncrementalGen/IncrementalGen.cpp	28	Windows	28:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include "cangjie/Basic/StringConvertor.h"	-	NO	MISSING	selfhost 无 IncrementalGen::Init 对应实体及其 Windows 编码分支。
PB031	CodeGen/IncrementalGen/IncrementalGen.cpp	102	Windows	102:#ifdef _WIN32 | 106:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::string> tempPath = StringConvertor::NormalizeStringToUTF8(cachedIRPath);; #else => injectedModule = llvm::parseIRFile(cachedIRPath, err, llvmContext);	-	NO	MISSING	selfhost 无 IncrementalGen::Init 对应实体及其 Windows 编码分支。
PB032	CodeGen/Utils/CGUtils.cpp	260	Windows	260:#ifdef _WIN32 | 264:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::string> tempPath = StringConvertor::NormalizeStringToUTF8(bcFilePath);; #else => llvm::raw_fd_ostream os(bcFilePath, errorCode);	packages/codegen/src/CHIRSplitter.cj	YES	COVERED	位码写出与 IR dump 的 Windows 路径正规化已在 CHIRSplitter helpers 对应。
PB033	CodeGen/Utils/CGUtils.cpp	532	Windows	532:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => std::optional<std::string> tempPath = StringConvertor::NormalizeStringToUTF8(filePath);	packages/codegen/src/CHIRSplitter.cj	YES	COVERED	位码写出与 IR dump 的 Windows 路径正规化已在 CHIRSplitter helpers 对应。
PB034	Driver/Driver.cpp	72	Windows	72:#ifdef _WIN32 | 74:#else	平台块负责选择：#ifdef _WIN32 => ".exe";; #else => "";	packages/driver/src/FrontendBridge.cj:35	NO	COVERED	selfhost 以 HostOS 选择 cjc-frontend.exe，结果等价。
PB035	Driver/Job.cpp	25	Windows	25:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include "cangjie/Basic/StringConvertor.h"	packages/driver/src/Job.cj	NO	DIVERGENT	selfhost 统一窄字符串错误输出，缺 Windows UTF-16 命令/错误消息路径。
PB036	Driver/Job.cpp	34	Windows	34:#ifdef _WIN32 | 40:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::wstring> werrCmd = Cangjie::StringConvertor::StringToWString(cmd);; #else => Errorf(	packages/driver/src/Job.cj	NO	DIVERGENT	selfhost 统一窄字符串错误输出，缺 Windows UTF-16 命令/错误消息路径。
PB037	Driver/Job.cpp	117	Windows	117:#ifdef _WIN32 | 127:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::wstring> wcmdString =; #else => std::string commandString = cmd->GetCommandString();	packages/driver/src/Job.cj	NO	DIVERGENT	selfhost 统一窄字符串错误输出，缺 Windows UTF-16 命令/错误消息路径。
PB038	Driver/TempFileManager.cpp	26	Windows	26:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <direct.h>	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB039	Driver/TempFileManager.cpp	33	Windows	33:#ifdef _WIN32 | 37:#else	平台块负责选择：#ifdef _WIN32 => const std::string TMP_DIR_ENVIRONMENT_KEY = "TMP";; #else => const std::string TMP_DIR_ENVIRONMENT_KEY = "TMPDIR";	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB040	Driver/TempFileManager.cpp	79	Windows	79:#ifdef _WIN32 | 84:#else	平台块负责选择：#ifdef _WIN32 => if (strerror_s(buf, buffSize, error) != 0) {; #else => auto handleError = [&buf](auto res) -> std::string {	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB041	Driver/TempFileManager.cpp	140	Windows	140:#ifdef _WIN32 | 147:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::wstring> tempValue = Cangjie::StringConvertor::StringToWString(path);; #else => if (mkdir(const_cast<char*>(path.c_str()), S_IRWXU | S_IRGRP | S_IXGRP | S_IROTH | S_IXOTH) == 0) {	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB042	Driver/TempFileManager.cpp	162	Windows	162:#ifdef _WIN32 | 189:#else	平台块负责选择：#ifdef _WIN32 => void RemoveDirRecursively(const std::wstring& dirPath); #else => void RemoveDirRecursively(const std::string& dirPath)	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB043	Driver/TempFileManager.cpp	438	Windows	438:#ifdef _WIN32 | 454:#else	平台块负责选择：#ifdef _WIN32 => std::string filePath = deletedFiles[i - 1];; #else => const char* filePath = deletedFiles[i - 1].c_str();	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB044	Driver/TempFileManager.cpp	471	Windows	471:#ifdef _WIN32 | 474:#else	平台块负责选择：#ifdef _WIN32 => (void)DeleteFileA(filePath);; #else => (void)unlink(filePath);	packages/driver/src/TempFileManager.cj	NO	DIVERGENT	selfhost 用单一路径 std.fs 实现，缺 Windows TMP/字符集/_wmkdir/宽字符删除分支。
PB045	Driver/Tool.cpp	15	Windows	15:#ifdef _WIN32 | 18:#else	平台块负责选择：#ifdef _WIN32 => #include <windows.h>; #else => #include <spawn.h>	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB046	Driver/Tool.cpp	30	Windows	30:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include "cangjie/Basic/StringConvertor.h"	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB047	Driver/Tool.cpp	36	Windows	36:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => std::string WriteArgsToResponseFile(const std::vector<std::string>& arguments)	packages/driver/src/Tool.cj	NO	MISSING	selfhost 无 Windows 超长命令响应文件 WriteArgsToResponseFile。
PB048	Driver/Tool.cpp	65	Windows	65:#ifdef _WIN32 | 98:#else	平台块负责选择：#ifdef _WIN32 => std::string GetSystemErrorMessage(DWORD errCode); #else => std::string GetSystemErrorMessage(int error)	packages/driver/src/Tool.cj	NO	MISSING	selfhost 无 Windows FormatMessageW 系统错误文本实现。
PB049	Driver/Tool.cpp	119	Windows,Apple	119:#ifdef __APPLE__ | 122:#elif !defined(_WIN32)	平台块负责选择：#ifdef __APPLE__ => const static std::string LD_LIBRARY_PATH = "DYLD_LIBRARY_PATH";; #elif !defined(_WIN32) => const static std::string LD_LIBRARY_PATH = "LD_LIBRARY_PATH";	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB050	Driver/Tool.cpp	143	Windows	143:#ifdef _WIN32 | 145:#else	平台块负责选择：#ifdef _WIN32 => argStr = argStr + FileUtil::GetQuoted(s) + " ";; #else => argStr = argStr + GetSingleQuoted(s) + " ";	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB051	Driver/Tool.cpp	149	Windows	149:#ifndef _WIN32	平台块负责选择：#ifndef _WIN32 => if (!GetLdLibraryPath().empty()) {	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB052	Driver/Tool.cpp	155	Windows	155:#ifdef _WIN32 | 157:#else	平台块负责选择：#ifdef _WIN32 => tempCommand += FileUtil::GetQuoted(name);; #else => tempCommand += GetSingleQuoted(name);	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB053	Driver/Tool.cpp	161	Windows	161:#ifdef _WIN32 | 165:#else	平台块负责选择：#ifdef _WIN32 => return "\"" + tempCommand + "\"";; #else => return tempCommand;	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB054	Driver/Tool.cpp	182	Windows	182:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => FileUtil::HideFile(FileUtil::GetDirPath(arguments[2]));	packages/driver/src/Tool.cj	YES	COVERED	命令引用、动态库环境变量与非 Windows spawn 分支有对应实现。
PB055	Driver/Tool.cpp	202	Windows	202:#ifdef _WIN32 | 254:#else	平台块负责选择：#ifdef _WIN32 => std::unique_ptr<ToolFuture> Tool::Run() const; #else => std::unique_ptr<ToolFuture> Tool::Run() const	packages/driver/src/Tool.cj	NO	DIVERGENT	selfhost Windows 走 std.process.execute，缺 CreateProcess、环境块、响应文件和句柄 future。
PB056	Driver/ToolFuture.cpp	30	Windows	30:#ifdef _WIN32 | 46:#else	平台块负责选择：#ifdef _WIN32 => ToolFuture::State WindowsProcessFuture::GetState(); #else => ToolFuture::State LinuxProcessFuture::GetState()	packages/driver/src/ToolFuture.cj	NO	DIVERGENT	selfhost ProcessFuture 只保存同步退出码，缺 Windows 进程句柄状态轮询。
PB057	Driver/Utils.cpp	42	Windows	42:#ifdef _WIN32 | 44:#else	平台块负责选择：#ifdef _WIN32 => return FileUtil::GetQuoted(arg);; #else => return GetSingleQuoted(arg);	packages/driver/src/Utils.cj:57	YES	COVERED	Windows 双引号与非 Windows 单引号分支对应。
PB058	Frontend/CompileStrategy.cpp	239	Windows,Unix	239:#if (defined __unix__) | 243:#elif defined(_WIN32)	平台块负责选择：#if (defined __unix__) => Cangjie::CreateAltSignalStack();; #elif defined(_WIN32) => Cangjie::RegisterCrashSignalHandler();	packages/frontend/src/CompileStrategy.cj	NO	MISSING	selfhost 并行编译 worker 未注册每线程 Windows crash signal handler。
PB059	Frontend/CompilerInstance.cpp	344	Windows,Apple,Linux	344:#ifdef _WIN32 | 346:#elif defined(__linux__) || defined(__APPLE__)	平台块负责选择：#ifdef _WIN32 => handle = InvokeRuntime::OpenSymbolTable(path);; #elif defined(__linux__) || defined(__APPLE__) => handle = InvokeRuntime::OpenSymbolTable(path, RTLD_NOW | RTLD_LOCAL);	packages/meta_transformation/src/NativeMetaTransformPlugin.cj	YES	COVERED	native plugin 的 LoadLibrary 与 dlopen 分支均存在。
PB060	Frontend/CompilerInvocation.cpp	40	Windows,Apple	40:#ifdef _WIN64 | 42:#elif defined(__APPLE__)	平台块负责选择：#ifdef _WIN64 => runtimeLib = "libcangjie-runtime.dll";; #elif defined(__APPLE__) => runtimeLib = "libcangjie-runtime.dylib";	packages/frontend/src/CompilerInvocation.cj:30	YES	COVERED	runtime 动态库后缀覆盖 Windows/macOS/其他。
PB061	FrontendTool/IncrementalCompilerInstance.cpp	105	Windows	105:#ifdef _WIN32 | 109:#else	平台块负责选择：#ifdef _WIN32 => auto tempPath = StringConvertor::NormalizeStringToUTF8(cachedCodeGenPath);; #else => auto module = llvm::parseIRFile(cachedCodeGenPath, err, context);	-	NO	MISSING	selfhost 无 GetCachedSplitNum 对应实体及 Windows 路径正规化。
PB062	Lex/Lexer.cpp	185	Windows	185:#ifdef _WIN32 | 187:#else	平台块负责选择：#ifdef _WIN32 => input = "\"\"\"\r\n" + ProcessQuotaMarks(t.Value()) + "\"\"\"";; #else => input = "\"\"\"\n" + ProcessQuotaMarks(t.Value()) + "\"\"\"";	packages/lex/src/LexerImpl.cj:422	YES	COVERED	重建多行字符串时 Windows CRLF 与非 Windows LF 两分支对应。
PB063	Macro/InvokeUtil.cpp	9	Windows	9:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <windows.h>	packages/macro/src/InvokeUtil.cj	YES	COVERED	LoadLibrary/GetProcAddress/FreeLibrary 与 dlopen/dlsym/dlclose 两套分支对应。
PB064	Macro/InvokeUtil.cpp	17	Windows,Apple,Linux	17:#ifdef _WIN32 | 28:#elif defined(__linux__) || defined(__APPLE__)	平台块负责选择：#ifdef _WIN32 => HANDLE InvokeRuntime::OpenSymbolTable(const std::string& libPath); #elif defined(__linux__) || defined(__APPLE__) => HANDLE InvokeRuntime::OpenSymbolTable(const std::string& libPath, int dlopenMode)	packages/macro/src/InvokeUtil.cj	YES	COVERED	LoadLibrary/GetProcAddress/FreeLibrary 与 dlopen/dlsym/dlclose 两套分支对应。
PB065	Macro/InvokeUtil.cpp	50	Windows,Apple,Linux	50:#ifdef _WIN32 | 52:#elif defined(__linux__) || defined(__APPLE__) | 54:#else	平台块负责选择：#ifdef _WIN32 => return (HANDLE)GetProcAddress((HMODULE)handle, name);; #elif defined(__linux__) || defined(__APPLE__) => return dlsym(handle, name);; #else => CJC_ASSERT(false);	packages/macro/src/InvokeUtil.cj	YES	COVERED	LoadLibrary/GetProcAddress/FreeLibrary 与 dlopen/dlsym/dlclose 两套分支对应。
PB066	Macro/InvokeUtil.cpp	63	Windows,Apple,Linux	63:#ifdef _WIN32 | 67:#elif defined(__linux__) || defined(__APPLE__)	平台块负责选择：#ifdef _WIN32 => if (FreeLibrary(reinterpret_cast<HMODULE>(handle))) {; #elif defined(__linux__) || defined(__APPLE__) => retCode = dlclose(handle);	packages/macro/src/InvokeUtil.cj	YES	COVERED	LoadLibrary/GetProcAddress/FreeLibrary 与 dlopen/dlsym/dlclose 两套分支对应。
PB067	Macro/InvokeUtil.cpp	107	OHOS	107:#if defined(CANGJIE_CODEGEN_CJNATIVE_BACKEND) && !defined(__ohos__)	平台块负责选择：#if defined(CANGJIE_CODEGEN_CJNATIVE_BACKEND) && !defined(__ohos__) => InvokeRuntime::CloseSymbolTable(handle);	packages/macro/src/InvokeUtil.cj	NO	DIVERGENT	selfhost CloseRuntime 在 OHOS 也关闭动态库，缺官方 !__ohos__ 条件。
PB068	Macro/InvokeUtil.cpp	112	OHOS	112:#if defined(CANGJIE_CODEGEN_CJNATIVE_BACKEND) && !defined(__ohos__)	平台块负责选择：#if defined(CANGJIE_CODEGEN_CJNATIVE_BACKEND) && !defined(__ohos__) => CloseMacroDynamicLibrary();	packages/macro/src/InvokeUtil.cj	NO	DIVERGENT	selfhost CloseRuntime 在 OHOS 也调用 CloseMacroDynamicLibrary，缺官方 !__ohos__ 条件。
PB069	Macro/InvokeUtilCJNative.cpp	27	Windows	27:#ifdef _WIN32 | 31:#else	平台块负责选择：#ifdef _WIN32 => const static std::string G_CJHEAPSIZE = "CJHEAPSIZE";; #else => const static std::string G_CJHEAPSIZE = "cjHeapSize";	packages/macro/src/InvokeUtil.cj:110	YES	COVERED	Windows 环境变量键大写与非 Windows 驼峰键对应。
PB070	Macro/MacroCommon.cpp	27	Windows,Apple,Linux	27:#ifdef _WIN32 | 31:#elif defined(__linux__) || defined(__APPLE__)	平台块负责选择：#ifdef _WIN32 => #include <direct.h>; #elif defined(__linux__) || defined(__APPLE__) => #include <sys/stat.h>	packages/macro/src/MacroCommon.cj:13	YES	COVERED	相关平台头文件能力由 LIB_SUFFIX 与 InvokeUtil 的 @When 分支承接。
PB071	Macro/MacroEvaluationClient.cpp	16	OHOS	16:#ifdef __ohos__ | 18:#else	平台块负责选择：#ifdef __ohos__ => #include <signal.h>; #else => #include <sys/signal.h>	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB072	Macro/MacroEvaluationClient.cpp	15	Apple,Linux	15:#if defined(__linux__) || defined(__APPLE__) | 23:#else	平台块负责选择：#if defined(__linux__) || defined(__APPLE__) => #include <signal.h>; #else => #include <windows.h>	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB073	Macro/MacroEvaluationClient.cpp	27	Linux	27:#ifdef __linux__	平台块负责选择：#ifdef __linux__ => #include <sys/prctl.h>	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB074	Macro/MacroEvaluationClient.cpp	43	Windows	43:#ifndef _WIN32	平台块负责选择：#ifndef _WIN32 => void SignalHandler(int)	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
